unit_number,sensor_16__root_mean_square,sensor_10__variance,sensor_16__mean,sensor_5__standard_deviation,sensor_10__standard_deviation,op_setting_1__median,op_setting_1__absolute_maximum,op_setting_1__maximum,op_setting_1__minimum,sensor_12__minimum,sensor_12__standard_deviation,sensor_11__maximum,sensor_11__standard_deviation,op_setting_1__sum_values,sensor_10__root_mean_square,sensor_14__minimum,sensor_10__mean,sensor_9__minimum,sensor_9__standard_deviation,sensor_9__mean,sensor_13__maximum,sensor_15__minimum,sensor_15__standard_deviation,sensor_15__maximum,sensor_8__minimum,sensor_16__standard_deviation,sensor_16__variance,sensor_17__median,sensor_17__standard_deviation,sensor_17__maximum,target_RUL
36,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,0.0003,0.0083,0.0083,-0.006,519.38,0.6508843650431214,48.3,0.210579398098154,0.0291999999999999,1.3,8124.16,1.3,9048.87,4.098761243470065,9059.574493670889,2388.31,8.3889,0.0321671473857124,8.5334,2388.01,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.3475663049819493,397.0,0
37,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.0001,0.007,0.007,-0.0056,519.15,0.6705186651218683,48.4,0.2267658884534663,-0.0025,1.2999999999999998,8109.05,1.3000000000000005,9029.11,4.861754669218464,9043.918352941177,2388.37,8.3788,0.0326198106745411,8.5559,2388.04,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.3494071490766746,397.0,0
38,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0004,0.0072,0.0072,-0.0056,519.17,0.5226971392634505,48.52,0.1895576068121526,0.0221,1.3,8120.81,1.3000000000000005,9038.89,27.93260219067347,9068.34056701031,2388.23,8.376,0.0312415523367761,8.5574,2388.0,6.938893903907228e-18,4.814824860968091e-35,394.0,1.3211673051303503,398.0,0
39,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.00015,0.0073,0.0064,-0.0073,518.83,0.6378376432375715,48.34,0.2175852360821789,0.0214,1.3,8105.83,1.3000000000000005,9027.44,5.134429958242103,9043.1240625,2388.34,8.3966,0.0317479466821126,8.5383,2388.05,1.3877787807814457e-17,1.9259299443872363e-34,394.0,1.2243212006429318,397.0,0
40,0.0299999999999999,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0004,0.0074,0.0062,-0.0074,519.56,0.4725574394848722,48.2,0.1740192397120218,0.0221,1.3,8131.63,1.3000000000000005,9047.93,20.73377907788676,9073.667978723404,2388.25,8.402,0.0274714677439482,8.5442,2388.02,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.377320668081771,398.0,0
41,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.00015,0.0057,0.0057,-0.0045,519.6,0.6983283473480592,48.34,0.2601235222501928,0.0137,1.3,8139.22,1.3000000000000005,9055.66,23.28177699958673,9082.083472222224,2388.19,8.3621,0.0373644145328094,8.551,2387.93,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.6526156679498596,398.0,0
42,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0,0.0067,0.0051,-0.0067,519.29,0.7114397091872298,48.14,0.2408162562694466,-0.0219,1.3,8132.37,1.3000000000000005,9051.05,4.5046008376757065,9062.8856122449,2388.29,8.3669,0.0367446063263083,8.5848,2387.93,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4067113929091644,398.0,0
43,0.03,4.437342591868191e-31,0.03,0.0,6.661338147750939e-16,-0.0001,0.0086,0.0048,-0.0086,519.37,0.7929698310060208,48.23,0.2694846381045365,-0.0132,1.3,8111.21,1.3000000000000007,9035.0,5.625649496706722,9052.06222222222,2388.33,8.3635,0.0385979837879343,8.5346,2387.96,6.938893903907228e-18,4.814824860968091e-35,392.0,1.5201202952898087,397.0,0
44,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0,0.0069,0.0061,-0.0069,519.62,0.6944415640131276,48.24,0.2631875709121518,0.0056,1.3,8141.2,1.3000000000000005,9058.88,6.138376631075251,9070.938541666668,2388.24,8.372,0.0372219122846108,8.532,2387.95,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.6318964236433635,398.0,0
45,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,-0.0002,0.0072,0.0072,-0.0052,519.37,0.8154813733084911,48.35,0.2849138559348021,-0.0275,1.3,8143.72,1.3,9058.36,7.04744858096614,9076.769620253164,2388.25,8.3669,0.0390081719639764,8.5521,2387.92,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.5822278472911135,397.0,0
46,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0001,0.007,0.0063,-0.007,519.37,0.7893111603474979,48.33,0.290827046702589,0.0034,1.3,8118.01,1.3000000000000005,9041.98,4.503069523148634,9058.235898437502,2388.32,8.3493,0.0379053735149595,8.5302,2387.96,1.3877787807814457e-17,1.9259299443872363e-34,392.0,1.4988958745601502,397.0,0
47,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,-0.00025,0.0081,0.0058,-0.0081,519.5,0.740497297569157,48.28,0.2791779988696156,0.0055999999999999,1.3,8140.33,1.3000000000000005,9054.8,11.73219075513354,9073.912663551402,2388.23,8.3603,0.0396980413505893,8.5473,2387.9,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.627329320149968,397.0,0
48,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0003,0.0063,0.0063,-0.0055,520.14,0.5634767197989338,48.12,0.2175416293218307,0.0493,1.3,8137.78,1.3000000000000005,9057.89,38.80485550167407,9093.182770562771,2388.55,8.3446,0.0333670323331767,8.5171,2387.95,6.938893903907228e-18,4.814824860968091e-35,392.0,1.5868266375880629,398.0,0
49,0.0299999999999999,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,-0.0001,0.0067,0.0067,-0.0054,519.02,0.598056368770661,48.31,0.2165916021457547,-0.0162,1.3,8118.11,1.3000000000000005,9032.99,6.9470785741967,9048.98706976744,2388.32,8.386,0.0346294519342357,8.5561,2388.04,6.938893903907228e-18,4.814824860968091e-35,393.0,1.3541195683174223,397.0,0
50,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0,0.0062,0.0062,-0.0061,519.33,0.6669664251859084,48.24,0.2322169058402611,0.0267,1.3,8138.39,1.3000000000000005,9056.24,18.41224597729385,9077.10303030303,2388.25,8.3685,0.033891720019031,8.5352,2387.99,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4520180061467804,397.0,0
51,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0001,0.0062,0.0056,-0.0062,520.2,0.5662005815888449,48.27,0.2262731861314155,-0.0081,1.3,8138.56,1.3000000000000005,9057.07,40.17217195361739,9094.553943661973,2388.54,8.3551,0.0343049437441467,8.5306,2387.95,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.6097605042222758,398.0,0
52,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0001,0.0054,0.0051,-0.0054,519.23,0.5740433892831205,48.29,0.2247097162279807,0.0166,1.3,8123.13,1.3000000000000005,9037.07,16.836069262148786,9060.797840375586,2388.23,8.3885,0.033146400439693,8.5502,2388.04,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4391643363715252,399.0,0
53,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0062,0.0062,-0.0056,519.68,0.574151207842897,48.18,0.2146323615501378,0.0419999999999999,1.3,8132.49,1.3000000000000005,9052.96,27.24152122657024,9081.583076923076,2388.2,8.3639,0.0341151110753253,8.5836,2388.0,6.938893903907228e-18,4.814824860968091e-35,393.0,1.4796982473981164,398.0,0
54,0.0299999999999999,0.0,0.03,1.7763568394002505e-15,0.0,-0.0003,0.0061,0.0055,-0.0061,519.57,0.6870229934279951,48.15,0.2576386444673125,-0.0560999999999999,1.3,8133.34,1.3,9053.22,23.501667762099657,9079.655214007782,2388.19,8.3653,0.0372552021475737,8.5432,2387.92,6.938893903907228e-18,4.814824860968091e-35,393.0,1.5989330118814002,398.0,0
55,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0059,0.0057,-0.0059,520.13,0.4667982246816843,48.31,0.2124294072245488,-0.0074,1.3,8125.81,1.3000000000000005,9040.33,36.36440458364068,9077.639948186528,2388.23,8.3795,0.0304551223028661,8.5535,2388.0,6.938893903907228e-18,4.814824860968091e-35,393.0,1.4190838693191568,398.0,0
56,0.03,0.0,0.03,0.0,0.0,0.0002,0.0071,0.0071,-0.0058,519.69,0.4809589951766408,48.21,0.183926812609511,0.0199999999999999,1.2999999999999998,8126.39,1.3,9041.14,25.648019753914536,9072.827709090909,2388.22,8.3705,0.0312923247263103,8.546,2388.03,0.0,0.0,394.0,1.3208361989523192,398.0,0
57,0.03,4.930380657631324e-32,0.0299999999999999,1.7763568394002505e-15,2.220446049250313e-16,-0.0003,0.0067,0.0067,-0.0051,518.94,0.7762496331681986,48.4,0.2598835585599891,-0.0044,1.2999999999999998,8108.19,1.3000000000000005,9031.44,6.04590524026161,9045.858321167882,2388.32,8.3731,0.0367402498897128,8.5533,2388.01,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.3275042632185976,397.0,0
58,0.03,0.0,0.03,0.0,0.0,-0.0002,0.0055,0.005,-0.0055,519.55,0.6985199044556514,48.33,0.2480587969334732,-0.0335,1.3,8115.48,1.3,9039.32,6.261841487780187,9060.272108843536,2388.33,8.3835,0.0329288996032432,8.5322,2387.98,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.490805112785526,397.0,0
59,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0,0.0054,0.0045,-0.0054,518.99,0.835794738982776,48.41,0.2976646608100453,0.0221999999999999,1.3,8132.05,1.3000000000000005,9045.61,5.107063343566656,9058.94593073593,2388.28,8.3441,0.0388667422513115,8.5353,2387.93,6.938893903907228e-18,4.814824860968091e-35,392.0,1.7022512561950955,398.0,0
60,0.03,0.0,0.03,0.0,0.0,-0.0002,0.0052,0.0052,-0.0044,519.53,0.5464524553567195,48.26,0.2175240719476582,0.0090999999999999,1.2999999999999998,8130.02,1.3,9044.2,21.668961145678185,9069.39691860465,2388.23,8.3793,0.0328681192841715,8.5478,2387.98,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.295911843745712,398.0,0
61,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.0001,0.0075,0.0053,-0.0075,519.33,0.8497822451277767,48.25,0.3043410585385165,-0.0125999999999999,1.3,8109.39,1.3000000000000005,9034.33,7.466072893622548,9057.06291891892,2388.36,8.34,0.0403504144059503,8.5378,2387.92,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.6158094037411737,397.0,0
62,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,-0.0003,0.0064,0.0064,-0.0051,519.49,0.549874606918099,48.29,0.1889311962423892,-0.0108,1.3,8116.48,1.3000000000000005,9037.02,5.1071930380979165,9054.82877777778,2388.37,8.4038,0.0310463891063551,8.5452,2388.05,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.1647603473104098,397.0,0
63,0.0299999999999999,0.0,0.03,1.7763568394002505e-15,0.0,-0.0002,0.0062,0.0057,-0.0062,519.67,0.48697230926486,48.28,0.1982610106048763,-0.0312,1.2999999999999998,8130.93,1.3,9047.9,30.456889250720025,9079.661091954024,2388.18,8.3808,0.0318669046903864,8.537,2388.01,0.0,0.0,393.0,1.431992016812071,398.0,0
64,0.0299999999999999,0.0,0.03,1.7763568394002505e-15,0.0,0.0,0.0087,0.0087,-0.0053,519.15,0.6110876338488058,48.34,0.2311637875510546,-0.0122,1.3,8130.95,1.3,9046.98,14.053521455398863,9068.069116607776,2388.27,8.3796,0.0332783665574226,8.5458,2388.0,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.3716347773976294,397.0,0
65,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0002,0.0059,0.0054,-0.0059,519.53,0.7737016384226951,48.25,0.2776248252486513,0.0152,1.3,8109.49,1.3000000000000005,9030.23,7.8211143017155615,9055.983856209148,2388.35,8.361,0.0378485739036746,8.5321,2387.93,0.0,0.0,392.0,1.546162666958143,397.0,0
66,0.0299999999999999,1.972152263052529e-31,0.03,1.7763568394002505e-15,4.440892098500626e-16,0.0001,0.0058,0.0058,-0.0057,519.3,0.5348829815396895,48.31,0.1990921521077094,0.0018999999999999,1.3,8131.1,1.3000000000000005,9046.72,6.349177085402383,9063.40603960396,2388.27,8.4068,0.0291482031233331,8.5424,2388.03,6.938893903907228e-18,4.814824860968091e-35,394.0,1.224444681462966,397.0,0
67,0.03,0.0,0.03,1.7763568394002505e-15,0.0,-0.0002,0.0057,0.0055,-0.0057,519.24,0.650827258969591,48.28,0.2390957875392673,-0.0452,1.3,8134.47,1.3,9056.61,4.922878746936542,9067.853482428116,2388.3,8.3822,0.03539551238003,8.5668,2387.97,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4493246731447935,397.0,0
